rank,city,country,citizen_score,governance_score,economic_score,environmental_score,mobility_score,total_score,latitude,longitude,population,incidents,victims_killed,victims_injured,victims_harmed
gold,Aarhus,Denmark,384.2,339.3,343.1,366.4,316.2,1749.2,56.162939,10.203921,290598,,,,
gold,Zurich,Switzerland,385.7,315.5,382.8,314.3,338.7,1737,47.3768866,8.541694,447082,,,,
gold,Berlin,Germany,383.9,314.2,374.9,316.6,331,1720.6,52.5200066,13.404954,4890363,,,,
gold,Gothenburg,Sweden,376.8,331.7,332.8,371.3,307,1719.5,57.70887,11.97456,607882,,,,
gold,Amsterdam,Netherlands,377.4,368.5,336.6,298.1,337.9,1718.5,52.3675734,4.9041389,1459402,,,,
gold,Helsinki,Finland,352.5,352.9,330.6,362.2,316.4,1714.7,60.1698557,24.938379,1360075,,,,
gold,Bristol,United Kingdom,337.6,371.6,386.2,328.8,285.6,1709.8,51.454513,-2.58791,707412,,,,
gold,Copenhagen,Denmark,367.2,352.3,367.6,307.7,312.4,1707.2,55.6760968,12.5683371,1366301,,,,
gold,Geneva,Switzerland,363.7,333.5,372.3,300.6,324.9,1695,46.2043907,6.1431577,203840,,,,
gold,Munich,Germany,361.9,332.2,364.4,302.8,317.3,1678.6,48.1351253,11.5819806,2606021,,,,
gold,Stockholm,Sweden,359.8,344.7,357.3,312.5,303.3,1677.5,59.3293235,18.0685808,2121000,,,,
gold,Rotterdam,Netherlands,370.4,311.5,366.1,299.4,329.1,1676.5,51.9244201,4.4777325,664311,,,,
gold,Oulu,Finland,370.5,380.9,355.1,303.5,262.7,1672.7,65.0120888,25.4650773,208939,,,,
gold,Vienna,Austria,315.8,369.6,372.1,317.3,295.6,1670.4,48.2080696,16.3713095,2223236,,,,
gold,Edinburgh,United Kingdom,365.6,369.6,365.7,310.1,256.8,1667.8,55.953252,-3.188267,488050,,,,
gold,Reykjavik,Iceland,329.5,384.1,325.1,365.1,260.1,1663.9,64.1469868,-21.9407552,139875,,,,
gold,Aalborg,Denmark,334.2,384.3,325.6,347.7,267.4,1659.2,57.0488195,9.921747,143598,,,,
gold,Minneapolis,United States,360.9,317.9,386.7,266.3,315.9,1647.7,44.977753,-93.2650108,2892569,8,1,40,41
gold,Basel,Switzerland,370.7,350.5,320.3,285.6,319.9,1647,47.5595986,7.5885761,173552,,,,
gold,Alesund,Norway,372.7,385.8,366.7,292.2,228,1645.4,62.4722284,6.149482,52163,,,,
gold,Brisbane,Australia,331.5,365.2,384.6,310.4,252.6,1644.3,-27.4704528,153.0260341,2360241,,,,
gold,Bruges,Belgium,320.6,367.4,368.7,302.8,277.7,1637.2,51.2091807,3.2247552,118509,,,,
gold,Luxembourg,Luxembourg,305.5,357.1,327.4,362.4,283.9,1636.3,49.815273,6.129583,132780,,,,
gold,Bordeaux,France,355.1,326.2,320.9,305.9,325,1633.1,44.8416106,-0.5810938,994920,,,,
gold,Cork,Ireland,380.9,299.6,380,305.1,265.3,1631,51.8985143,-8.4756035,222333,,,,
gold,Cologne,Germany,368.9,349.2,312.4,287.8,312.3,1630.6,50.937531,6.9602786,1084831,,,,
gold,Eskilstuna,Sweden,346.8,376.7,340.3,317.5,248.3,1629.5,59.3712486,16.5098045,69948,,,,
gold,Utrecht,Netherlands,362.4,353.5,314.1,279.4,319.1,1628.5,52.0907374,5.1214201,359370,,,,
gold,Innsbruck,Austria,318.8,332.6,316.6,348.5,311.9,1628.4,47.2675322,11.3910349,130585,,,,
gold,Espoo,Finland,327.5,367.9,353.1,303.5,272.7,1624.7,60.2054911,24.6559001,297132,,,,
gold,Osaka,Japan,325.2,313,340,317.2,325.5,1621,34.6937249,135.5022535,15126000,,,,
gold,Christchurch,New Zealand,332.9,383.7,369.2,289.6,245.3,1620.8,-43.5320301,172.636648,383200,,,,
gold,London,United Kingdom,362.6,351.6,308.7,295.1,301.8,1619.8,51.5072178,-0.1275862,11262000,,,,
gold,Singapore,Singapore,355.1,282.8,383.6,297.8,298.6,1617.8,1.352083,103.819836,5983000,,,,
gold,Jonkoping,Sweden,364.8,309.7,342.3,305,295.8,1617.5,57.7826137,14.1617876,112766,,,,
gold,Seoul,South Korea,362.4,319.7,347.4,273,311,1613.5,37.5518911,126.9917937,23016000,,,,
gold,Ottawa,Canada,370.7,305.8,364.7,269.8,301.7,1612.7,45.4200572,-75.7003397,1068821,,,,
silver,Boston,United States,353.9,360.9,336.2,247.6,307.2,1605.7,42.3600825,-71.0588801,4328315,3,0,17,17
silver,Odense,Denmark,380.2,310.3,357.1,301.4,256.2,1605.2,55.403756,10.40237,182387,,,,
silver,Oslo,Norway,340.7,343.8,321.2,333.4,264.2,1603.4,59.9138688,10.7522454,1064235,,,,
silver,Melbourne,Australia,344.5,368.2,354.1,306.6,228.9,1602.3,-37.8136276,144.9630576,5031195,,,,
silver,Monaco,Monaco,311.7,366.6,348.8,322.1,246.8,1596.1,43.7384176,7.4246158,36371,,,,
silver,Brussels,Belgium,368.6,330.4,308.2,289,298.9,1595.2,50.8476424,4.3571696,1235192,,,,
silver,Bern,Switzerland,376.7,331.5,301.8,309.3,273.7,1593,46.9479739,7.4474468,134506,,,,
silver,Lyon,France,293.1,359.2,315.4,342.2,281.2,1591.1,45.764043,4.835659,522250,,,,
silver,Taipei,Taiwan,338.9,293.1,387.5,263.9,306.2,1589.5,25.0329694,121.5654177,2603150,,,,
silver,Dublin,Ireland,373.9,317.6,319.5,286.3,291.6,1589,53.3498053,-6.2603097,1263219,,,,
silver,Graz,Austria,355.8,299.6,349.6,303.5,271.9,1580.4,47.0678961,15.4417305,292630,,,,
silver,Tokyo,Japan,363.2,321,314.5,288.5,291.8,1579,35.6764225,139.650027,37732000,,,,
silver,Wellington,New Zealand,335.9,346.7,313.7,320.8,261.6,1578.8,-41.2923814,174.7787463,216200,,,,
silver,Dresden,Germany,374.9,330.2,293.9,311.6,266,1576.6,51.0504088,13.7372621,563311,,,,
silver,The Hague,Netherlands,353.4,344.5,300.6,268.1,307.9,1574.5,52.0704978,4.3006999,548320,,,,
silver,Busan,South Korea,320.4,352.7,351.9,279.2,267.2,1571.5,35.2100142,129.0688702,3453198,,,,
silver,Oakville,Canada,358.7,358.8,359.2,256,238,1570.7,43.467517,-79.6876659,213759,,,,
silver,Turku,Finland,338.5,368.9,319.6,297.2,246.4,1570.7,60.4517504,22.2485771,252468,,,,
silver,Manchester,United Kingdom,368.6,292.6,350.2,303.8,250.6,1565.8,53.4807593,-2.2426305,547627,,,,
silver,Baltimore,United States,345.9,302.9,364.2,247.6,297.2,1557.7,39.2903848,-76.6121893,2196524,11,9,67,76
silver,Vigo,Spain,338.7,293.8,346.9,293.4,283.4,1556.1,42.2405989,-8.7207268,293652,,,,
silver,Bilbao,Spain,318.7,353.8,336.9,278.4,268.4,1556.1,43.2630126,-2.9349852,775000,,,,
silver,Arendal,Norway,347.7,335.8,339.2,273.4,259.2,1555.4,58.4617568,8.7724499,45891,,,,
silver,Perth,Australia,351.5,355.2,352.1,281.6,213.9,1554.3,-31.9513993,115.8616783,2141834,,,,
silver,Roskilde,Denmark,356.2,351.3,288.6,270.2,284.9,1551.2,55.64191,12.087845,52580,,,,
silver,Tallinn,Estonia,314.5,286.3,353,308.3,286,1548,59.4369608,24.7535746,614561,,,,
silver,Kaohsiung,Taiwan,376.9,301.1,322,235.1,312.5,1547.5,22.6272772,120.3014375,2733964,,,,
silver,Antwerp,Belgium,340.6,302.4,296.2,324,283.9,1547.2,51.2213404,4.4051485,536079,,,,
silver,San Marino,San Marino,316.9,301.2,358.1,323.2,247,1546.4,43.9305658,12.44379,4040,,,,
silver,Prague,Czech Republic,306.9,330.3,310.4,334.1,264.5,1546.3,50.0755381,14.4378005,1357326,,,,
silver,Montpellier,France,325.1,336.2,293.4,277.2,311.2,1543.1,43.6108535,3.8761323,302454,,,,
silver,Lucerne,Switzerland,312.7,347.5,303.3,318.1,257.4,1539,47.0501682,8.3093072,81691,,,,
silver,Tel Aviv,Israel,339.7,295,378.8,278.3,240.1,1531.9,32.0852999,34.7817676,1388400,,,,
silver,Sapporo,Japan,325.2,298,347.5,248.5,311.8,1531,43.0617713,141.3544506,1959313,,,,
silver,Auckland,New Zealand,372.9,353.7,286.7,290.8,226.6,1530.8,-36.8508827,174.7644881,1346091,,,,
